Response,Review,Rating,Context,Region,State,
Joginder Nagar,"awesome place para gliding para gliding staff members amazing care landing
kamlah fortthe historic town mandi built beas river entrance kullu valley place famous old stone temples beautiful carvings beauty known varanasi hills
drive dharmsala guide stopped temple stretch use wc point scenery beautiful dive temple short gates structures amazing temple colorful peaceful",5,"Jogindernagar, or Jogindar Nagar, is a municipality, and a sub district in Mandi district in the Indian state of Himachal Pradesh. Named after Raja Joginder Sen, the hill station is the terminus of the 163-kilometre-long Kangra Valley narrow-gauge railway. Jogindernagar is the third-largest city in the Mandi district.",North,Himachal Pradesh,
Jolaibari,"mahamuni pagoda buddha temple located manu bankul south tripura pagoda built terms architecture like myanmar visited dalai lama spent minutes started pilak
pilak kms mahamuni temple pilak known buddhist hindu architectural heritage dating th th centuries located joliabari remains predominantly brick work marking structures ramayana",3.5,NA,NA,Tripura,
Jorhat,"historical background rupsing bongal mercenary said washed sword assassinating bodon borphukan collaborated burmese forcess invading assam twice drinks water catch fish pond
visited ashok purnima belief assamese tradition big mustard light lights lifetime flame lifetime good classic gift boishnob god mahapurush shri manta sankardev visit place
bilvesvar shiva temple lies south trunk road northern district ancient shrine holy tank built rucinath burgohain located km away jorhat city national highway
temple crowded durga puja main temple maa durga temples lord shiva ganesha maa kali located temple
chandra kanta handique bhavan head office asam sahitya sabha century old literary organisation high contribution assamese literature culture land building donated danbeer radhakanja handique
malls available near jorhat railway station good hotel available near proper food corner available
children park jorhat city size small located heart city
located diagonally opposite doss supermarket jorhat lacks maintenance
established british jorhat gymkhana club built slimmon secretary club seconidhara village club venue horse races inauguration governor cup major trophy awarded
garakhiadol temple shiva temple located kms jorhat malow ali monaimaji gaon village ancient story says gorakhia rancher used sacrifice foring insect everyday basis day little gorakhia rancher allows gorakhia rancher
sanctuary excellent place visit seven species apes sanctuary visited majuli visit guards quite knowledgeable told lot forest types apes
young children attraction delight visit witness science centre planetarium worth visiting knowing thing earth planet
constructed indian army tomb famous ahom general museum artifacts written assamese nice outing
assume water pond sweet sight lotus soothing
jorhat marwari thakurbari located road near truck stand finest hindu worship place preserved visitors definitely feel peace mind visiting place
fully developed completed major tourist attraction tells assamese culture history
molai forest located jorhat district assam world largest single handedly man forest created padmashree jadhav payeng forest lovers include place bucket list jorhat reach kokilamukh reserve auto
raj mao pukhuri famous pond ahom kingdom recent times beautification walking pathways walls attract visitors day glittering lights evening beauty
making tea easy process growing trees place cinnamara jorhat allow people inside process tea manufacture small admission fee place
maidam burial mound ahom king purandar singha rajamaidam jorhat district existing maidam vault lies south bank river tocklai northern jorhat town ahom king purandar sinha expired
ashram foreigners visiting shanti love travellers gives idea culture",3.714285714,NA,North-East,Assam,
Jowai,"visit place mawlynnong dawki road good highway worth detour place view nice park vehicle click
temple relatively new locals claim built right wing activists temple brass altar goddess durga
place perfect sense crowded life jackets swim thought getting drowned changing rooms life guards waterfall clean blue water waterfall obviously
park kept clean locals regularly water flowers spotted park way jowai spent hours lunch brought packed shillong
lake unique completely cut artificially maintained authorities enjoyed boating lake
park flowering plants jogging track locals varieties migratory birds special make tourist destination
lot monoliths really huge make sure visit durga temple nearby human sacrifices used place
missionaries church popular place locals easily way following demarkations roads stone like walls amazing
falls small stream basically remote village happened waste nearly hours time visit spot
kings families north east india said visit ghat performing cultural religious rites ceremonies liked maintenance strategies applied locals place clean
spent hours crowd wonderful scenery km highway great place hangout
reached entering jowai enroute shillong serenity calmness lake surroundings green valley worth appreciation
traditional intricacy harnessing stones arch shape finally bridge strem really masterpiece architecture loved
green pastures small blue waterbodies amidst best view got syntu ksiar driver cab showed variety touch plants mushrooms
took hours trek entire trail gaps minutes view khasi garo hills upperside slopes amazing
greatly adventurous crawl narrow opening trek darkness amidst projecting stalactites stalagmites",4,NA,North-East,Meghalaya,
Junagadh,"earlier days step wells place weary travelers rested filled drinking water gujarat arid state step wells lifeline travelers days step wells located uparkot fort
ahmedpur beach devloped beach like somnath good place calm place crowdy spend evening enjoy
age old inscriptions pali language unfortunately renovation archaeological institute
lake popular locals hindu community belives taking bath giving moksha rebirth lake situated foothills girnar damodar hari temple bank lake
interesting place keen know ayurveda worth visit learn ancient science
good beautiful place visit girnar forests excellent surroundings pleasant rainy seasons
dusty needs cleaning especially glass cabinets quite filthy worthwhile items view good weapon collection carved furniture silver items stunning silver howdahs
bordevi temple bit far junagadh city yes visit temple frequently visits place peace calm
dattatreya temple temple girnar hill located separate hill climbed little adjacent hill
biggest challenge faced visiting gir getting entrance permit online website flaky days process payment bankcard help park employees managed complete online purchase
stairs starts wellington dam high elevation gives awesome bird eye view junagadh town visit place
palace birthplace india successfully businessman owner world biggest crude oil refinery jamnagar mr dhirubhai ambani located chorwad village pictures family childhood successful entrepreneur businessman
incredibly gruelling joy time temples stunning landscape wildlife set little bit later liked plan descend sun
really superb place like visiting second visit really giving lot peace mind
temple situated steps approx surroundings girnar u ahead dattatreya temple ups steps approx steps
holy place jain visit blessings bhagvan climb total steps reach ahead visit ambe temple
brief stop jungle safari water reservoir youcan sight birds crocodiles
temple surrounded natural beauty enjoy visit monsoon visit place
best beach entire saurashtra region facilities developed good hotels resorts bit difficult stay till late
kind caves beautiful maintained authorities crowd good
thing want mention government encourage travelers travel make place clean maintained nice visit takes mins things
nice atmosphere fresh air morning lots greenery motibag botanical garden freshy experience visit morning type experience travellers
guide took muskund caves way gir forest safari visiting damodar rai temple visit place historical reverences lord sri krishna mahabharath enjoyed
large zoo verities animals birds rarely bus service provide good view
navghan kuwo adi kadi vav located inside uparkot fort navghan kuwo older said built th century ce step built excavating soft rock
ancient temple foot girnar hills deities located temple main idols temple painted gold colour paint looks beautiful kund auspicious
told majestic gates lead city junagarh current state admire
rishabhadev temple beautiful place hill awesome atmosphere view lots fun
shri swaminarayan temple beautiful architecture nice good cleaning people come pray
shri damodar hari temple really good place feel lot peace mind really great place visit
beautiful place deep girnar mountain enjoy day outing tracking visit moonsoon
specifically review satadhar dham religious place totally depends faith like highlight drive gir sasan goes unpaved road way till satadhar dham
great combination hot cold water springs tulsi shyam nice natural view visit lifetime
swami vivekananda vinay mandir place visited gives lot happiness visit place family friends
saurashtra region considered land sages brave men lions especially talking junagadh older times e junagadh city developed initially place called vamansthali vanthali near junagadh capital
properly maintained gives glimpse excavation site improve using lights putting details things
uparkot fort historic neglected state government squatters inside fort selling gift items maintenance fort filled filth pity place historical importance total neglect
decently maintained place visit nice walk dam rocks sit enjoy peace quietness crowd dam lo
temple inside gir forest situated lap nature scenic route views visit place",4.153846154,"Junagadh is a city in the western Indian state of Gujarat. Mahabat Maqbara is the huge 19th-century mausoleum of a local ruler, which showcases intricate Indo-Islamic architectural details. Uparkot Fort, founded around 300 BC, has city views from its ramparts. Within the fort are the stone-cut stepwells Adi Kadi Vav and Navghan Kuwo, plus Buddhist caves. To the west, Darbar Hall Museum is housed in a former palace.",West,Gujarat,
Jubbal,"khara pathar nice place spend quality time close nature place close shimla easily accessible
beautiful mata temple route scenic beauty temple located height good view historical value small temples main premises said temples built pandav",4.5,"Jubbal is a tehsil, town and a nagar panchayat in Shimla district in the Indian state of Himachal Pradesh which shares its boundary with the state of Uttrakhand towards south-east. Jubbal is recognised as a major apple producing area in Shimla district along with Kotgarh, Kumarsain, Kotkhai and Chopal.",north,Punjab,
Junnar,"recently visited trek pachnai route easy u reach hrs amazing view trek route best visit time june january food facility available local people stay facility available caves u camping
darya ghat hidden gem specifically rainy seasons route naneghat kms naneghat junnar hit junction darya ghat
lenyadri caves old buddhist caves situated hill junnar district kms malshej ghat takes minutes drive road leave ahmednagar highway bit
friends spend weekend good memory beautiful nature fort shivai devi temple blessings ganaga jamuna tanks ready fullfill thirst junner city
visited ashtavinayak darshan sequence puja difficulty climbed steps easily hope blessings shri girijatmaj wife son family tide",4.2,"Junnar is a city in the Pune district of the Indian state of Maharashtra. The city has history dating back to the first millennium. The nearby fort of Shivneri was the birthplace of Maratha king Shivaji, the founder of the Maratha Empire.",west,Maharashtra,
Kadapa,"dargah popular planned visit trip kadapa went dargah sure traditional practice thats needed people dargah helpful explained
noted famous temple lord venkateswara kadapa district people tirumala tholi gadapa means tirumala step people say lord venkateswara kept leg people say need visit temple visiting tirumala
visit place feel difference place shri veerabhramendra swamy birth place fully charged power
near native place small village andhra pradesh forgotten gorge gandikota situated pennar river andhra pradesh good place family members",3.25,"Kadapa is a city in the southern part of Andhra Pradesh, India. It is located in the Rayalaseema region, and is the district headquarters of YSR Kadapa district. As of the 2022 Census of India, the city had a population of 466,000, a 2.42% increase from 2021. It is located 8 kilometres south of the Penna River.",South,Andhra Pradesh,
Kadi,want visit place visit place morning like fresh fresh air freshness nature make say wow beautiful local international birds sound called days,5,"Kadi, located in Gujarat, offers a blend of cultural and natural attractions for tourists. The town is renowned for its historical significance, with sites like the Shri Mankameshwar Temple, dedicated to Lord Shiva, and the picturesque Haveli, showcasing intricate architectural marvels. Nature enthusiasts can explore the tranquil settings of Kadi River and visit nearby attractions such as Thol Bird Sanctuary, home to a diverse range of migratory birds. With its rich heritage and natural beauty, Kadi promises an enriching experience for travelers seeking cultural immersion and serene landscapes in Gujarat.",West,Gujarat,
Kadayam,sri nithya kalyani temple situated town kadayam km west kadayam bus stand temple main deity shiva known vilvaraneyswarar swayambu lingam ambal shiva consort known nithyakalyani lush green fields ending hills distance,3,"Kadayam is a town in the district of Tenkasi in the Indian state of Tamil Nadu. It was an important hub for revolutionaries in the 1900s. Kadayam boasts a notable association with Tamil's revolutionary poet, Subramania Bharati. ",south,Tamil Nadu,
Kadiri,enter temple parakaram feel divinity loddu good rate rs gurukals reasonably good good facilities available marriage rooms bathroom marriage parties road bus stops entrance,5,Kadiri is a major city in Sri Sathya Sai District the Indian state of Andhra Pradesh. It is a Special Grade Municipal City Council and headquarters of Kadiri Mandal and Kadiri Revenue Division,South,Andhra Pradesh,
Kakinada,"got nice meditative atmosphere priest scholar like great aara like sacredness inner shrine
visited place friends picnic mangrove forests species birds nests built birds main attraction wooden bridge located
located inthe kakainada city huge mall consists food courts like mc kfc burger king addition branded showrooms movie theatres enjoy day
number curios various historical periods displayed like manuscripts pot works ancient precious coins different kingdoms like way museum continuously maintained monitored officials
favorite place central forest know going like look windows surrounding hotels like looking forest
superb beach sea food time paying place nice nature sceneries fantastic holiday spot
away kakinada city beach visible resort maintenance ok childrens playing facilities enjoyed stay boating speed boat facility avliable food average price resort ok nature lovers
staff blocking aisle renewing stocks bother way customers tell way numerous visits staff standing blocking aisles talking
bought kaja colleagues opened box rotten called response gave rude saying mistake spoiling disappointed response
park thronged local residents came kids afternoon evening small coffee stall inside park merry rounds grass neatly turfed wooden seats clean
visited place visited kakinada city ancient temple sculptures stones beautiful calm peace ful positive energy u visit place",4.181818182,Kakinada is the sixth largest city of the Indian state of Andhra Pradesh and serves as the district headquarters of the Kakinada District. It lies on the coast of the Bay of Bengal. J.N.T.U.,South,Andhra Pradesh,
Kailashahar,"visited kali bari temple kailashahar dharshan doors closed deity seek blessings temple expected lot pujas celebrations dusshera
ramkrishna mission temple kailashahar timings pm pm pm cut short minutes winter",3,"Kailashahar is the fourth largest urban area in the north eastern state of India, Tripura, located near northwest Bangladesh border. It is a Municipal council and the administrative center of the Unakoti district, this city is surrounded by unakoti hills and flows through Tripura's longest river, Manu.",North-East,Tripura,
Kaikaluru,flocks different types birds little water left lake drying water diverted fish farms fish make money migratory birds expected park zero facilities tourists,3,"Kaikaluru is a town in Eluru district of the Indian state of Andhra Pradesh. Kaikalur is home to Kolleru Lake, one of the largest freshwater lakes in India, covering about 90,100 hectares and is a tourist attraction. ",South,Andhra Pradesh,
Kaipadar,peace mind prasad soo good eat meng breakfast,5,"
Kaipadar is a village located in the Ganjam district of the Indian state of Odisha. Like many rural areas in Odisha, Kaipadar likely relies on agriculture as its primary occupation, with crops such as rice, pulses, and vegetables being cultivated in the surrounding fields.
Kaipadar is a village located in the Ganjam district of the Indian state of Odisha. Like many rural areas in Odisha, Kaipadar likely relies on agriculture as its primary occupation, with crops such as rice, pulses, and vegetables being cultivated in the surrounding fields.

The village is likely characterized by its natural beauty, with lush greenery, fields, and possibly nearby water bodies. It may have a small community with traditional customs and practices, contributing to the cultural richness of the region.",East,Odisha,
Kakkabe,"good view natural beauty loved place early morning coorg sunset roads narrow accident chances exceed
feel vibrations temple definitely visit locally famous visitors passing virajpet madikeri stop blessed
place built purpose hiding safety dense forest spend time place evening visit worth luckily sort guide explain",4.333333333,"Kakkabe is a scenic village located in the Kodagu (Coorg) district of Karnataka, India. Situated amidst the picturesque Western Ghats, Kakkabe is known for its natural beauty, lush greenery, and serene environment. It's a popular destination for nature lovers, trekkers, and those seeking a tranquil retreat.One of the prominent attractions in Kakkabe is the Tadiandamol Peak, which is the highest peak in Kodagu and offers breathtaking views of the surrounding landscapes. Trekking to Tadiandamol Peak is a popular activity among visitors to Kakkabe.",South,Karnataka,
Kaladhungi,small museum models animals birds mins tour models original skin animal,4,"Kaladhungi is a town and a nagar panchayat in Nainital district in the Indian state of Uttarakhand. The place is located just on the foothill, a good climate but summers are hot, located 26 km west of Haldwani on the Haldwani-Ramanagar road.",North,Uttarakhand,
Kalady,"temple opens pm pm pm contact specific dress code prescribed religions enter temple follow temple norms
sri sankaracharya person live world live world wonderful temple kerala
idol lord sri krishna excellent temple maintained experience typical kerala tradition males remove shirt enter temple visit adi sankaracharya temple
rare church saint st roch said patron saint dogs falsely accused people church like normal fact patron st roche visit place religious",3.5,"Kalady or Kaladi is a town located between Angamaly and Perumbavoor, east of the Periyar river, near to Malayattoor in Ernakulam district of Kerala, India, not far from Cochin International Airport. It is notable as the birthplace of 9th century Indian philosopher Adi Shankara.",South,Kerala,
Kalasa,"visited friends good temple que spend time temple prasad good
teerthas kalasa place religious significance natural beauty road spot like dirt track",5,Kalasa is a taluk located in Chikkamagaluru district in Karnataka. Kalasa is home to the Kalaseshwara Temple dedicated to Lord Shiva. Kalasa lies 92 Kilometres South-west of Chickmagalur and is located on the banks of the Bhadra River. Kannada language is spoken here,South,Karnataka,
Kaleshwaram,unique ancient temples lord shvia lingams installed yama god death called kaaleswara muktheswara nostril hols completey filled water water pour located,2,Kaleshwaram is a village in Mahadevpur Mandal in Jayashankar Bhupalpally district in the Indian state of Telangana. This name refers more broadly to the state of Telangana & Kaleshwaram Temple. Kaleshwaram is at the juncture of the rivers Godavari and its Pranahita tributary.,south,Telangana,
Kalimpong,"view point superb view city point car parking available
surrounding deolo resort park amusement activity old young popular visit picnic spot open upto evening adventurous experience parasailing park thoughits expensive told rs person
great lover books enid blyton crookety house stirred imagination like reached pleasantly surprised bungalow built british
beautiful hilltop view point kalimpong went monsoon entirely covered fog mist felt wonderful walking amid clouds beautiful park playground kids horse riding
yo visit place school real terms nice ambience architecture superb
situated hill hill tops like deolo inside monastery usual monastery peace prevails upper floors panoramic view kalimpong
excellent place opposite pine view nursery visitors add place local sight seeing
little difficult altitude miss spot place spectacular view
serene ecstatic restful minds understand life seriously true passion quest peace place takes classic age
science centre kalimpong brilliant place travellers gain scientific knowledge entering place hills brilliant static models dinosaurs park outstanding travellers know pre historic animals existed earth brilliant
located walking distance supermarket basically handicraft centre carpet weaving handicraft items woven caps masks paintings display depicting past history handicrafts personally interesting
jaldhaka river valley undoubtedly hidden treasure jaldhaka river flows india bhutan visiting place amazing experience greenery captivating chirping innumerable birds feel futility city life
buddha statue road kalimpong town delo stop minutes click pictures special
extremely managed huge temple peaceful spiritual ambience perfect place meditation
rich art culture lepchas indigenous tribe area museum musical instruments manuscripts religious items worth visit hour spare close main
nicely maintained cactus nursery good collection cactus small maintained good collection different varieties cactus
think correct place murals mary wise men people darker skins east asian features totally appropriate
went monastery th march location monastery stunning fabulous views valley closed went young monk directed museum close guided museum
thongsa gompa oldest monastery kalimpong locally known bhutanese gompa belongs nyingmapa sect built bhutanese captured kalimpong hills chogyals sikkim established fort pedong
wonderful view serene quiet sunday pupils monastery serene really felt peace",4.3,"Kalimpong is an east Indian hill town in the Himalayan foothills of West Bengal. Perched on a ridge above the Teesta River, it’s home to colonial-era buildings like MacFarlane Memorial Church, named after a Scottish missionary. South, the hilltop Durpin Monastery, or Zang Dhok Palri Phodang, contains sacred Buddhist scriptures. Deolo Park has landscaped gardens and offers views of the town and surrounding hills. ",East,West Bengal,
Kallar,place excellent day family friends hour trekking mild chilled water bath couple hours interesting carrying packed lunch good trip near,5,NA,South,Kerala,
Kalka,"kali mata temple situated kalka shimla road beautiful temple gurudwara blessing mata highly recommend
good thing place really good view located hills mind average place
travelled jaipur new delhi days mahinder really polite helpful knows way rajasthan recommended lot good places eat recommended",4.666666667,"Kalka is a town in the Panchkula district of Haryana, India. It is near Panchkula city. The name of the town is derived from the Hindu goddess Kali. It is situated in the foothills of the Himalayas and is a gateway to the neighbouring state of Himachal Pradesh.",North,Haryana,
Kalna,collection small temples shiva contains shiva lingam large statues shiva midst pools nice quiet green place walk allowed hold hands,4,"Kalna or Ambika Kalna is a town in the Purba Bardhaman district of West Bengal, India. It is the headquarter of the Kalna subdivision, situated on the western bank of the Bhāgirathi river. The town is more popularly known as Ambika Kalna, named after the goddess Kali, Maa Ambika.",East,West Bengal,
Kalpa,"aapki khushiyon wo woh log shamil hote hai jinhe aap chahte ho lekin aapke ghum wo log sath honge jo aapko chahte hai
kinnaur land beautiful temples built traditional kathkuni style beautiful temple
located heart kalpa monastery visit traveler visiting kinnaur kalpa
drive called suicide point increase heart rates max capacity extremely narrow roads shale mountains threatening engulf road steep precipice definitely bring fear quotient
kinnaur land temples monastery exception visit place kinnaur highly recommend place",3.2,"Kalpa is a small village in the Sutlej river valley, above Reckong Peo in the Kinnaur district of Himachal Pradesh, Northern India, in the Indian Himalaya. The region is inhabited by the Kinnauri people and is known for its apple orchards, as apples are a major cash-crop for the region.",North,Himachal Pradesh,
Kalpetta,"visted banasura sagar dam visit place wayanad took jeep tickets dropped hill long dam lots children acivities boating ziplineing took picures hills awsome dam spent
small beautiful jain temple located km kalpetta town wayanad district kerala place called puliyarmala jain temples wayanad jains living area
chembra peak highest peak wayanad district kerala western ghats mountain ranges ideal trekking feet sea level heart shaped lake peak main attraction
hoping wild animals lots beautiful wild deer wild elephants recently droppings sanctuary road
visited yr kid build steps excitement mountain hiking famous caves like ajanta elore highly disappointed visiting cave things planned dont
century structure ruins located near sultan bathery carvings walls peaceful place
evolve kuruba safari lodge sits right banks kabini river rich life including crocodiles multitudes birds otters saw seven wild elephants swimming river using trunks like snorkels amazing
tier inside forest met walk parking reach shallow tier bath selfies shouts treacherous mud stone walk downhill min reach deep end stream worth seeing cautious stand platform
place good construction make similar brindavan garden road pathetic good
walked long lifetime good ambiance end experience small falls black rocks make journey complete bamboo rafting point attraction miss
place amazing beautiful sunrise mesmerizing view staying someplace close stay illegal camp sites resort offers great view absolutely horrendous customer service completely destroying beautiful
located slopes vellarimala completely secluded thousands glittering mirrors temple
view point high point ghat section calicut highway parking zone cars parked special visited summer monsoon good spot
place opens good idea early best spots bathe lots parking lots available rs small restaurants selling packaged beverages including desi ones like masala butter milk make omlettes
know place attractions list great experience really liked x jeep experience
walk dam offers great view mountains half reservoir nd half personally liked half cinematic actually wanted roll beautiful green grass
trek view point quite long tiring different variety birds animals trek worthwhile
papanasini means destroyer sin sacred place people come offer prayers souls ancestors water cold rocks bit slippery river somewhat clean tourists coming
place days ago happy cleanliness area think place skip
small museum know history allowed photos read information leisure tomb
visit place sept feb mar wards cool place boating water kinds boats available cover cover executive boat prices bit high
good sculptures lying forest unattended lack awareness structure bushes sad locals unaware
place visit wayanad plan hotel stay accordance location falls chembra peaks travel lot homestay far away attraction blindly follow google maps reach
route temple awesome enjoy journey self driving lookout animals nearby tholpetay sanctuary
visit wayanad wildlife sanctuary took drive past muthanga karnataka bandipur road kms evening able sight wild elephants deers road road
clean surroundings oldest mosques wayanad good architecture related history sufi saint",3.846153846,"Kalpetta is a town in the mountainous Wayanad region of Kerala, South India. It’s a gateway to the trails of lofty Chembra Peak and to Neelimala Viewpoint, which overlooks waterfalls and forested valleys. North of town, the traditional, Dravidian-style Ananthanatha Swami Jain Temple is perched on a hilltop surrounded by coffee plantations. To the southeast, Meppadi is a scenic village with lush tea estates.",South,Kerala,
Kalsi,visited dak pathar barrage vikasnagar staying uttarakhand government hotel dak pathar maybe came wrong season visitors locals decently maintained garden ticketed,2,"Kalsi is a town in Dehradun District, Uttarakhand. It is known for the Rock edicts of Kalsi, a group of major inscriptions by emperor Ashoka. The Kalsi rock contains the Major Rock Edicts 1 to 14",North,Uttarakhand,
Kalyan,"killa mainly used watch ocean transport used happen creek old temple goddess bhavani believed worship godess heart good wishes come true
good walk jog plus cleanness sitting arrangements check pics sitting arrangements countable sitting arrangements felt good
kalyan pune road shil phata kalyan ambarnath badlapur road road going malang gad km kalyan place know haji malang public transport st
try game zone quite uninteresting need improvement utterly unenjoyable waste time money
playzone varied interesting indoor activity arcade trampoline cricket simulator carnival soft play area kids cricket simulator main attraction offers great indoor entertainment experience",4,Kalyan is a city on the banks of Ulhas River in Thane district of Maharashtra state in Konkan division. It is governed by Kalyan-Dombivli Municipal Corporation. Kalyan is a subdivision of Thane district.,West,Maharashtra,
Kalyani,adorable mind blowing view island popular tourists different states,4,Kalyani is a planned urban city in Nadia district in the Indian state of West Bengal. It is also a municipality and Community Development Block in Nadia. It is located around 50 kilometres from Kolkata — the capital of West Bengal. Kalyani is the administrative headquarters of Kalyani subdivision.,East,West Bengal,
Kamargaon,large waterbody seen hills ghats surrounding satara mini dam stop local river making useful irrigation places nearby great specially travel visit,4,Kamargaon is a village on the Pune to Ahmednagar State Highway in India. There is a windmill farm 20 km outside town. The village deity is Kamaksha Devi.,North-East,Assam,
Kamarpukur,"barujjey pukur means pond tank banerjee sharada come collect kind fodder grow area cows stories jairambati magical
temple parents returning jairambati temple located village called anur kms away kamarpukur main deity temple goddess visalakshi highly revered villagers
jairambati holy place mother born movement enter temple sense peace surrounds assuring mother care meditate temple mobile silent mode
bhagwan sri ramkrishna born kamarpukur math temple constructed exact location halda pukur used dip everyday tank maintained open till pm
reached kamarpukur temple visited gopeshwar shiva temple ancient shiva temple situated near house lord ramakrishna lord ramakrishna mother used visit temple thousands shiva devotees used flock
small house sri sarada born ashram attractions visit devotees ramakrishna located km kolkata city math provides accommodation devotees make advance booking birth place sri ramakrishna kamarpukur km
holy mother spent year swami saradananda purchased small plot land constructed house sarada live old house puratana bari able accommodate large number
punya bengali term means holy believed pond holy come far visit place initially bathe pond guess hey
parents got visit sihar shiva temple year end trip kamarpukur jairambati ancient temple located village sihar temple frequently visited lord shri ramakrishna holy mother shri sharadha
chandramani devi mother sri ramkrishna come pray people make fun son turned mad pleasantly surprised heard voice telling son ordinary human
home holy mother years sri sri matri mandir complex jairambati sarada performed jagadhatri puja encouraged
simhavahini temple special temple jairambati holy mother used visit place deity simhavahini companions chandi mahamaya form pitchers contain earth soil believed curative powers
kamarpukur ramkrishna math yogi shiva temple visited mother sri ramkrishna parahmans chandramani devi vision birth incarnation lord visnu form
tara sharada come dip associated divine devotees flock tank sprinkle water",3.714285714,Kamarpukur is a village in the Goghat II CD block in the Arambag subdivision of the Hooghly District in West Bengal state of India. It is the birthplace of Sri Ramakrishna. It is the block headquarters of the Goghat –II community development block.,East,West Bengal,
Kammasandra,amazing place kms bangalore roads amazingly good travelling leaving highway road gets narrow good drive sunny hot day limits,5,"Kammasandra is a locality in the state of Karnataka, India. It is located in the southern part of the state, specifically in the Bangalore Urban district. Bangalore, also known as Bengaluru, is the capital city of Karnataka and a major hub for technology and innovation in India.Like many areas in and around Bangalore, Kammasandra has likely seen rapid urbanization and development, especially given its proximity to the city. It might have a mix of residential, commercial, and industrial establishments, reflecting the urban growth characteristic of the region.",South,Karnataka,
Kamavarapukota,"located remotest place views worth effort ways situated km away eluru
lies godavari districts widespread fora fauna mythological importance ramayana area known kishkinda",3,Kamavarapukota is a village in Eluru district of the Indian state of Andhra Pradesh. The nearest railway station is at Sitampet.,South,Andhra Pradesh,
Kamshet,"great experience loved didnt feel like time becos instructor experienced ease
start normal hike fort mountain unlike majority day treks nearby pune sub regions trek require physical stamina pull body
successful paragliding experience thanks temple pilots associate sachin praveen great coordinators manoj helped gliding suit professionally pilot ganesh amazing person making feel comfortable process
great place visit man caves bhuddist monks ancient india working primitive tools amaze
good experience fly bird eye view expect adrenaline rush extreme adventure sport
great place time year camping trekking paragliding mantra place near uksan lake",4.5,"Kamshet is a village in India, situated in Mawal taluka of Pune district in the state of Maharashtra. It encompasses an area of 242.96 ha. ",west,Maharashtra,
Kamod,temple plus dam hot water spring great experience devotee natural hot waters rejuvenating,5,,Central,Madhya Pradesh,
Kanakapura,"place good kids dangerous chances fall deep hollows
visited chunchi falls bike early morning started bang nice place small trekking km chunchi falls located interior villages experience scenic beauty sunrise early morning crowd
place bit crowded holidays decent drive hours banashankari temple bangalore roads expanded years roads drivable bike car stretches narrow parking fee rs plenty fresh food stall",4,Kanakapura is a city in the Ramanagara district of Karnataka on the banks of the Arkavathi river and the administrative center of the taluk of the same name. Kanakapura is largest cocoon silk producer in India. River Cauvery flows around 21 km in Kanakapura Taluk.Previously belonged to Bangalore Rural District.,South,Karnataka,
Kanadukathan,"unique occasion access palaces belonging rich chettiar families glimpse splendors times
visit meet answer questions interesting short walk horses broken worth stopping spare minutes imagining maybe make small prayer
weaving centre told helps weavers handlooms lady runs krishnaveni daughter husband enterprising friendly passionate keeping craft alive chatty showcases products enthusiasm",4.333333333,"
Kanadukathan is a village located in the Sivaganga district of Tamil Nadu, India. It is renowned for its well-preserved heritage mansions, known as ""Chettinad mansions."" The Chettinad region, to which Kanadukathan belongs, is famous for its unique architecture, culinary traditions, and cultural heritage.The Chettinad mansions in Kanadukathan and surrounding villages were built by prosperous Chettiar merchants during the 19th and early 20th centuries. These mansions are characterized by their grandeur, intricate craftsmanship, spacious courtyards, and elaborate woodwork. Many of them feature a blend of indigenous Tamil architecture with influences from other regions, including European and Southeast Asian styles.",south,Tamil Nadu,
